location,date,hour,wind speed
  225,20190111,    6,   50
  225,20190111,    7,   70
  225,20190111,    8,   70
  225,20190111,    9,   70
  225,20190111,   10,   80
  225,20190111,   11,   80
  225,20190111,   12,   90
  225,20190111,   13,   90
  225,20190111,   14,   90
  225,20190111,   15,   90
  225,20190111,   16,   90
  225,20190111,   17,  100
  225,20190111,   18,  100
  225,20190111,   19,   80
  225,20190111,   20,   80
  225,20190111,   21,   90
  225,20190111,   22,   80
  225,20190111,   23,   80
  225,20190111,   24,   90
  225,20190112,    1,   90
  225,20190112,    2,   90
  225,20190112,    3,   90
  225,20190112,    4,   80
  225,20190112,    5,  100
  225,20190112,    6,  100
  225,20190112,    7,  110
  225,20190112,    8,  110
  225,20190112,    9,  110
  225,20190112,   10,  120
  225,20190112,   11,  130
  225,20190112,   12,  120
  225,20190112,   13,  120
  225,20190112,   14,  110
  225,20190112,   15,  120
  225,20190112,   16,  110
  225,20190112,   17,  110
  225,20190112,   18,  110
  225,20190112,   19,  100
  225,20190112,   20,  110
  225,20190112,   21,  100
  225,20190112,   22,  100
  225,20190112,   23,   90
  225,20190112,   24,   90
  225,20190113,    1,   70
  225,20190113,    2,   70
  225,20190113,    3,   80
  225,20190113,    4,   90
  225,20190113,    5,  110
  225,20190113,    6,  110
  225,20190113,    7,  120
  225,20190113,    8,  120
  225,20190113,    9,  120
  225,20190113,   10,  130
  225,20190113,   11,  130
  225,20190113,   12,  130
  225,20190113,   13,  130
  225,20190113,   14,  150
  225,20190113,   15,  160
  225,20190113,   16,  160
  225,20190113,   17,  150
  225,20190113,   18,  140
  225,20190113,   19,  130
  225,20190113,   20,  130
  225,20190113,   21,  130
  225,20190113,   22,  130
  225,20190113,   23,  130
  225,20190113,   24,  140
  225,20190114,    1,  140
  225,20190114,    2,  110
  225,20190114,    3,  120
  225,20190114,    4,  100
  225,20190114,    5,  110
  225,20190114,    6,  100
  225,20190114,    7,   80
  225,20190114,    8,   90
  225,20190114,    9,  110
  225,20190114,   10,  100
  225,20190114,   11,  120
  225,20190114,   12,  120
  225,20190114,   13,  120
  225,20190114,   14,  110
  225,20190114,   15,  120
  225,20190114,   16,  110
  225,20190114,   17,  110
  225,20190114,   18,  100
  225,20190114,   19,   90
  225,20190114,   20,   80
  225,20190114,   21,   70
  225,20190114,   22,   80
  225,20190114,   23,   60
  225,20190114,   24,   60
  225,20190115,    1,   80
  225,20190115,    2,   90
  225,20190115,    3,   90
  225,20190115,    4,  100
  225,20190115,    5,  100
  225,20190115,    6,  100
  225,20190115,    7,  100
  225,20190115,    8,  110
  225,20190115,    9,  120
  225,20190115,   10,  120
  225,20190115,   11,  110
  225,20190115,   12,  110
  225,20190115,   13,  110
  225,20190115,   14,  110
  225,20190115,   15,  110
  225,20190115,   16,  100
  225,20190115,   17,  110
  225,20190115,   18,  120
  225,20190115,   19,  110
  225,20190115,   20,  110
  225,20190115,   21,  100
  225,20190115,   22,  100
  225,20190115,   23,  100
  225,20190115,   24,  110
  225,20190116,    1,  110
  225,20190116,    2,  110
  225,20190116,    3,  120
  225,20190116,    4,  120
  225,20190116,    5,  110
  225,20190116,    6,  130
  225,20190116,    7,  140
  225,20190116,    8,  150
  225,20190116,    9,  150
  225,20190116,   10,  160
  225,20190116,   11,  160
  225,20190116,   12,  150
  225,20190116,   13,  160
  225,20190116,   14,  150
  225,20190116,   15,  140
  225,20190116,   16,  140
  225,20190116,   17,  140
  225,20190116,   18,  140
  225,20190116,   19,  150
  225,20190116,   20,  150
  225,20190116,   21,  120
  225,20190116,   22,   80
  225,20190116,   23,   60
  225,20190116,   24,  100
  225,20190117,    1,  110
  225,20190117,    2,  120
  225,20190117,    3,  120
  225,20190117,    4,  110
  225,20190117,    5,  110
  225,20190117,    6,  100
  225,20190117,    7,  110
  225,20190117,    8,  110
  225,20190117,    9,  110
  225,20190117,   10,  130
  225,20190117,   11,  120
  225,20190117,   12,  120
  225,20190117,   13,  120
  225,20190117,   14,  110
  225,20190117,   15,  100
  225,20190117,   16,  110
  225,20190117,   17,  120
  225,20190117,   18,  110
  225,20190117,   19,  100
  225,20190117,   20,  110
  225,20190117,   21,  120
  225,20190117,   22,  100
  225,20190117,   23,  100
  225,20190117,   24,   80
  225,20190118,    1,   50
  225,20190118,    2,   40
  225,20190118,    3,   20
  225,20190118,    4,   20
  225,20190118,    5,   30
  225,20190118,    6,   30
  225,20190118,    7,   40
  225,20190118,    8,   50
  225,20190118,    9,   50
  225,20190118,   10,   60
  225,20190118,   11,   50
  225,20190118,   12,   60
  225,20190118,   13,   70
  225,20190118,   14,   50
  225,20190118,   15,   40
  225,20190118,   16,   40
  225,20190118,   17,   40
  225,20190118,   18,   40
  225,20190118,   19,   40
  225,20190118,   20,   40
  225,20190118,   21,   40
  225,20190118,   22,   40
  225,20190118,   23,   40
  225,20190118,   24,   40
  225,20190119,    1,   40
  225,20190119,    2,   40
  225,20190119,    3,   40
  225,20190119,    4,   40
  225,20190119,    5,   30
  225,20190119,    6,   40
  225,20190119,    7,   40
  225,20190119,    8,   40
  225,20190119,    9,   40
  225,20190119,   10,   40
  225,20190119,   11,   40
  225,20190119,   12,   40
  225,20190119,   13,   40
  225,20190119,   14,   40
  225,20190119,   15,   50
  225,20190119,   16,   40
  225,20190119,   17,   40
  225,20190119,   18,   50
  225,20190119,   19,   40
  225,20190119,   20,   40
  225,20190119,   21,   40
  225,20190119,   22,   30
  225,20190119,   23,   40
  225,20190119,   24,   30
  225,20190120,    1,   30
  225,20190120,    2,   30
  225,20190120,    3,   30
  225,20190120,    4,   30
  225,20190120,    5,   40
  225,20190120,    6,   50
  225,20190120,    7,   40
  225,20190120,    8,   30
  225,20190120,    9,   30
  225,20190120,   10,   30
  225,20190120,   11,   20
